sample_index,time_s,label,fault_detail,aceleracao_x_mancal_a,aceleracao_y_mancal_a,aceleracao_x_mancal_b,aceleracao_y_mancal_b,temperatura_mancal_a,temperatura_mancal_b,corrente_fase_u,corrente_fase_v,corrente_fase_w
0,1.1658752856611394e-05,desgaste_rolamento,BPFI_03,-3911,3125,-1473,2581,28587,30279,13685,6764,-19866
1,5.072125285661139e-05,desgaste_rolamento,BPFI_03,1015,-444,-2572,8110,28587,30279,15340,6553,-21363
2,8.97837528566114e-05,desgaste_rolamento,BPFI_03,120,445,-1202,5714,28587,30279,15937,7001,-22510
3,0.0001288462528566114,desgaste_rolamento,BPFI_03,-3449,3320,-650,3677,28587,30279,15183,8422,-22731
4,0.0001679087528566114,desgaste_rolamento,BPFI_03,-566,-168,5,-812,28587,30279,17013,7775,-24552
5,0.0002069712528566114,desgaste_rolamento,BPFI_03,-152,-1051,1004,-3577,28587,30279,17628,6514,-24046
6,0.0002460337528566114,desgaste_rolamento,BPFI_03,-3204,1674,575,4880,28587,30279,16568,5671,-22232
7,0.00028509625285661145,desgaste_rolamento,BPFI_03,-109,-715,588,2565,28587,30279,15074,6325,-21412
8,0.0003241587528566114,desgaste_rolamento,BPFI_03,3611,-2140,158,-1204,28587,30279,15211,4905,-19772
9,0.0003632212528566114,desgaste_rolamento,BPFI_03,482,758,-2137,1908,28587,30279,15992,3771,-19434
10,0.00040228375285661144,desgaste_rolamento,BPFI_03,508,81,-756,-7823,28587,30279,17201,4102,-21121
11,0.0004413462528566114,desgaste_rolamento,BPFI_03,2526,-1639,-145,-9468,28587,30279,17015,5109,-22112
12,0.0004804087528566114,desgaste_rolamento,BPFI_03,-2049,717,-1397,1809,28587,30279,18147,5605,-23118
13,0.0005194712528566114,desgaste_rolamento,BPFI_03,-2695,652,1743,150,28587,30279,19664,4749,-23168
14,0.0005585337528566114,desgaste_rolamento,BPFI_03,60,-1491,3686,-147,28587,30279,19093,3198,-21807
15,0.0005975962528566113,desgaste_rolamento,BPFI_03,-660,-437,1743,3779,28587,30279,18251,3280,-20872
16,0.0006366587528566114,desgaste_rolamento,BPFI_03,-1093,144,3071,-2059,28587,30279,17035,3342,-20148
17,0.0006757212528566114,desgaste_rolamento,BPFI_03,1915,-1072,3254,-2121,28587,30279,17571,1527,-18806
18,0.0007147837528566113,desgaste_rolamento,BPFI_03,2755,-414,647,-48,28587,30279,18633,481,-18806
19,0.0007538462528566114,desgaste_rolamento,BPFI_03,2264,685,-1513,-4022,28587,30279,19421,1440,-20840
20,0.0007929087528566114,desgaste_rolamento,BPFI_03,1651,794,-4021,459,28587,30279,18396,3297,-21655
21,0.0008319712528566113,desgaste_rolamento,BPFI_03,1498,869,-3459,-167,28587,30279,20500,2518,-22860
22,0.0008710337528566114,desgaste_rolamento,BPFI_03,-47,768,-2575,-286,28587,30279,20623,765,-21184
23,0.0009100962528566114,desgaste_rolamento,BPFI_03,-1556,875,-3314,8345,28587,30279,20148,186,-20202
24,0.0009491587528566113,desgaste_rolamento,BPFI_03,-2011,573,-220,3908,28587,30279,18801,1150,-19954
25,0.0009882212528566114,desgaste_rolamento,BPFI_03,-1239,-150,2526,-1344,28587,30279,18932,195,-18751
26,0.0010272837528566114,desgaste_rolamento,BPFI_03,-2005,-66,532,4589,28587,30279,19552,-1380,-18018
27,0.0010663462528566114,desgaste_rolamento,BPFI_03,-2764,143,2560,-103,28587,30279,20100,-1732,-18541
28,0.0011054087528566115,desgaste_rolamento,BPFI_03,-1166,-594,3657,-3313,28587,30279,20096,81,-20126
